
APP_ID,APP_NAME,SRC_DATABASE_TYPE,SRC_DATABASE_NAME,SRC_TABLE_SCHEMA,SRC_TABLE_NAME,COLUMN_NAME,COLUMN_POSITION,IS_NULLABLE,DATA_TYPE,CHAR_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,CREATED_TIMESTAMP,CREATED_BY,COMMENT
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV,CUSTOMER,C_ID,1,NO,NUMBER,,10,0,2023-05-02T15:01:18.343601Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV,CUSTOMER,C_NAME,2,YES,VARCHAR,20,,,2023-05-02T15:01:18.344599Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV,CUSTOMER,C_EID,3,YES,VARCHAR,30,,,2023-05-02T15:01:18.344599Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV,DEPT,d_id,1,NO,NUMBER,,10,0,2023-05-02T15:01:18.345631Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV,DEPT,d_name,2,YES,VARCHAR,30,,,2023-05-02T15:01:18.345631Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV,DEPT,no_of_emp,3,YES,NUMBER,,10,0,2023-05-02T15:01:18.346598Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV1,EMPLOYEE,e_id,1,NO,NUMBER,,10,0,2023-05-02T15:01:18.346598Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV1,EMPLOYEE,e_name,2,YES,VARCHAR,30,,,2023-05-02T15:01:18.347677Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV1,EMPLOYEE,e_dept,3,YES,VARCHAR,30,,,2023-05-02T15:01:18.347677Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV1,STUDENT,S_id,1,NO,NUMBER,,10,0,2023-05-02T15:01:18.347677Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV1,STUDENT,S_name,2,YES,VARCHAR,20,,,2023-05-02T15:01:18.348677Z,HARITHA,NULL
1,SQLSERVER,SQLSERVER,SUPERSQL,BDV1,STUDENT,S_eid,3,YES,VARCHAR,30,,,2023-05-02T15:01:18.348677Z,HARITHA,NULL
